#multi:
	cintura		quadril		coxa		joelho		tornozelo		calcanhar		pé		
t	x	y	x	y	x	y	x	y	x	y	x	y	x	y	
0.308	-0.584	1.042	-0.591	0.918	-0.672	0.531	-0.666	0.434	-0.648	0.104	-0.623	3.865E-2	-0.735	2.039E-2
0.317	-0.593	1.042	-0.599	0.919	-0.676	0.531	-0.670	0.434	-0.648	0.105	-0.623	3.837E-2	-0.735	2.051E-2
0.325	-0.602	1.043	-0.607	0.919	-0.681	0.530	-0.673	0.433	-0.648	0.105	-0.623	3.837E-2	-0.735	2.003E-2
0.333	-0.610	1.043	-0.616	0.919	-0.686	0.529	-0.676	0.433	-0.648	0.105	-0.622	3.809E-2	-0.735	1.996E-2
0.342	-0.619	1.043	-0.624	0.919	-0.691	0.529	-0.679	0.433	-0.648	0.105	-0.623	3.851E-2	-0.735	1.995E-2
0.350	-0.628	1.043	-0.633	0.918	-0.695	0.528	-0.682	0.432	-0.649	0.105	-0.623	3.798E-2	-0.735	2.013E-2
0.358	-0.637	1.042	-0.641	0.918	-0.699	0.528	-0.685	0.432	-0.649	0.104	-0.623	3.798E-2	-0.735	2.005E-2
0.367	-0.645	1.042	-0.650	0.918	-0.702	0.528	-0.687	0.432	-0.649	0.104	-0.623	3.825E-2	-0.735	1.974E-2
0.375	-0.654	1.042	-0.659	0.917	-0.705	0.527	-0.690	0.433	-0.649	0.106	-0.624	3.772E-2	-0.735	1.954E-2
0.383	-0.663	1.041	-0.668	0.917	-0.709	0.527	-0.693	0.433	-0.650	0.105	-0.623	3.772E-2	-0.734	1.941E-2
0.392	-0.672	1.041	-0.677	0.916	-0.713	0.527	-0.697	0.433	-0.651	0.106	-0.624	3.798E-2	-0.735	1.885E-2
0.400	-0.681	1.040	-0.686	0.916	-0.717	0.526	-0.700	0.432	-0.651	0.105	-0.624	3.825E-2	-0.735	1.858E-2
0.408	-0.690	1.039	-0.695	0.915	-0.721	0.526	-0.703	0.432	-0.651	0.106	-0.623	3.877E-2	-0.735	1.856E-2
0.417	-0.699	1.038	-0.704	0.914	-0.726	0.526	-0.706	0.432	-0.652	0.106	-0.623	3.720E-2	-0.735	1.815E-2
0.425	-0.709	1.037	-0.713	0.913	-0.730	0.525	-0.710	0.432	-0.653	0.106	-0.624	3.772E-2	-0.735	1.817E-2
0.433	-0.718	1.036	-0.721	0.912	-0.735	0.525	-0.713	0.431	-0.655	0.106	-0.624	3.772E-2	-0.735	1.761E-2
0.442	-0.727	1.035	-0.730	0.910	-0.740	0.524	-0.717	0.430	-0.656	0.104	-0.624	3.693E-2	-0.735	1.705E-2
0.450	-0.737	1.033	-0.738	0.909	-0.745	0.523	-0.721	0.429	-0.655	0.105	-0.624	3.772E-2	-0.735	1.661E-2
0.458	-0.746	1.032	-0.746	0.908	-0.750	0.522	-0.724	0.428	-0.656	0.105	-0.624	3.588E-2	-0.735	1.569E-2
0.467	-0.755	1.031	-0.755	0.907	-0.755	0.520	-0.728	0.428	-0.656	0.105	-0.625	3.641E-2	-0.735	1.516E-2
0.475	-0.765	1.030	-0.764	0.906	-0.761	0.520	-0.733	0.427	-0.658	0.105	-0.625	3.588E-2	-0.735	1.463E-2
0.483	-0.773	1.029	-0.771	0.905	-0.764	0.519	-0.735	0.426	-0.656	0.104	-0.623	3.562E-2	-0.733	1.358E-2
0.492	-0.781	1.029	-0.779	0.905	-0.768	0.518	-0.738	0.426	-0.656	0.104	-0.621	3.510E-2	-0.732	1.341E-2
0.500	-0.792	1.027	-0.789	0.903	-0.773	0.518	-0.742	0.425	-0.657	0.105	-0.621	3.562E-2	-0.732	1.297E-2
0.508	-0.802	1.026	-0.798	0.902	-0.779	0.517	-0.747	0.425	-0.657	0.105	-0.623	3.536E-2	-0.733	1.293E-2
0.517	-0.813	1.024	-0.808	0.900	-0.784	0.516	-0.751	0.424	-0.658	0.106	-0.623	3.532E-2	-0.732	1.300E-2
0.525	-0.823	1.022	-0.819	0.898	-0.790	0.515	-0.756	0.423	-0.659	0.106	-0.624	3.602E-2	-0.733	1.255E-2
0.533	-0.834	1.020	-0.829	0.896	-0.795	0.513	-0.760	0.422	-0.661	0.106	-0.624	3.532E-2	-0.733	1.271E-2
0.542	-0.844	1.018	-0.839	0.895	-0.801	0.513	-0.765	0.422	-0.662	0.107	-0.624	3.719E-2	-0.733	1.229E-2
0.550	-0.855	1.016	-0.848	0.893	-0.807	0.512	-0.770	0.422	-0.662	0.108	-0.625	3.742E-2	-0.732	1.225E-2
0.558	-0.866	1.014	-0.859	0.892	-0.813	0.511	-0.775	0.421	-0.663	0.109	-0.625	3.859E-2	-0.732	1.205E-2
0.567	-0.877	1.012	-0.869	0.890	-0.820	0.511	-0.781	0.421	-0.665	0.110	-0.625	4.023E-2	-0.732	1.191E-2
0.575	-0.888	1.011	-0.880	0.888	-0.827	0.509	-0.787	0.421	-0.666	0.112	-0.625	4.070E-2	-0.732	1.173E-2
0.583	-0.900	1.009	-0.891	0.887	-0.834	0.509	-0.793	0.420	-0.668	0.113	-0.626	4.280E-2	-0.732	1.176E-2
0.592	-0.911	1.007	-0.902	0.885	-0.843	0.507	-0.800	0.419	-0.670	0.115	-0.627	4.421E-2	-0.733	1.180E-2
0.600	-0.923	1.004	-0.913	0.883	-0.851	0.507	-0.808	0.419	-0.673	0.116	-0.628	4.584E-2	-0.733	1.126E-2
0.608	-0.935	1.003	-0.924	0.881	-0.860	0.506	-0.815	0.418	-0.674	0.118	-0.629	4.772E-2	-0.734	1.166E-2
0.617	-0.946	1.001	-0.935	0.880	-0.869	0.505	-0.823	0.418	-0.675	0.121	-0.630	4.959E-2	-0.734	1.203E-2
0.625	-0.958	0.999	-0.947	0.878	-0.879	0.504	-0.832	0.417	-0.677	0.122	-0.631	5.286E-2	-0.734	1.208E-2
0.633	-0.970	0.997	-0.959	0.877	-0.889	0.503	-0.841	0.417	-0.680	0.125	-0.633	5.601E-2	-0.735	1.263E-2
0.642	-0.982	0.996	-0.972	0.876	-0.899	0.502	-0.850	0.416	-0.683	0.126	-0.634	5.898E-2	-0.735	1.315E-2
0.650	-0.996	0.994	-0.986	0.874	-0.911	0.500	-0.860	0.416	-0.686	0.130	-0.636	6.288E-2	-0.736	1.370E-2
0.658	-1.009	0.992	-0.999	0.872	-0.922	0.499	-0.870	0.415	-0.691	0.134	-0.639	6.789E-2	-0.737	1.466E-2
0.667	-1.022	0.990	-1.012	0.871	-0.935	0.498	-0.881	0.414	-0.695	0.138	-0.642	7.198E-2	-0.737	1.561E-2
0.675	-1.036	0.989	-1.026	0.870	-0.948	0.496	-0.894	0.413	-0.700	0.141	-0.646	7.588E-2	-0.739	1.687E-2
0.683	-1.050	0.987	-1.041	0.869	-0.963	0.495	-0.907	0.412	-0.706	0.145	-0.649	8.126E-2	-0.741	1.832E-2
