#multi:
;cintura;;quadril;;coxa;;joelho;;tornozelo;;calcanhar;;pé;;
t;x;y;x;y;x;y;x;y;x;y;x;y;x;y;
0.000000E0;-1.443590E-1;1.004653E0;-1.458610E-1;8.824636E-1;-3.475951E-1;5.306134E-1;-3.778009E-1;4.442276E-1;-4.950179E-1;1.227474E-1;-5.056951E-1;4.467519E-2;-6.130575E-1;7.623848E-2
8.332014E-3;-1.570856E-1;1.002141E0;-1.584828E-1;8.801278E-1;-3.551665E-1;5.264472E-1;-3.861758E-1;4.407955E-1;-5.132577E-1;1.231297E-1;-5.279157E-1;4.490909E-2;-6.324373E-1;7.873909E-2
1.666403E-2;-1.698294E-1;9.999968E-1;-1.712213E-1;8.776849E-1;-3.640394E-1;5.222926E-1;-3.948953E-1;4.375983E-1;-5.297688E-1;1.225964E-1;-5.463939E-1;4.514299E-2;-6.492089E-1;7.963939E-2
2.499604E-2;-1.826161E-1;9.984429E-1;-1.840528E-1;8.752845E-1;-3.737965E-1;5.187360E-1;-4.047170E-1;4.345192E-1;-5.435320E-1;1.218168E-1;-5.608958E-1;4.327178E-2;-6.632650E-1;7.893450E-2
3.332806E-2;-1.954802E-1;9.969615E-1;-1.970098E-1;8.738182E-1;-3.849705E-1;5.167658E-1;-4.151813E-1;4.319722E-1;-5.548361E-1;1.201601E-1;-5.730587E-1;4.116666E-2;-6.742933E-1;7.755766E-2
4.166007E-2;-2.083596E-1;9.954795E-1;-2.095231E-1;8.723058E-1;-3.972022E-1;5.159060E-1;-4.270485E-1;4.302377E-1;-5.638016E-1;1.181291E-1;-5.819469E-1;3.882765E-2;-6.826611E-1;7.488993E-2
4.999208E-2;-2.210184E-1;9.945291E-1;-2.231383E-1;8.715719E-1;-4.105576E-1;5.160648E-1;-4.391642E-1;4.289964E-1;-5.702519E-1;1.153914E-1;-5.877945E-1;3.485132E-2;-6.888650E-1;7.059322E-2
5.832410E-2;-2.341016E-1;9.938554E-1;-2.360958E-1;8.706575E-1;-4.245385E-1;5.166621E-1;-4.519720E-1;4.280963E-1;-5.758655E-1;1.122727E-1;-5.910691E-1;3.134280E-2;-6.934604E-1;6.528736E-2
6.665611E-2;-2.470911E-1;9.929892E-1;-2.493160E-1;8.701720E-1;-4.386447E-1;5.175388E-1;-4.644317E-1;4.270647E-1;-5.789842E-1;1.075947E-1;-5.929403E-1;3.157670E-2;-6.970260E-1;6.003069E-2
7.498813E-2;-2.605563E-1;9.924495E-1;-2.631407E-1;8.697055E-1;-4.531656E-1;5.177633E-1;-4.760392E-1;4.252510E-1;-5.816351E-1;1.047879E-1;-5.959810E-1;3.087500E-2;-7.011939E-1;5.511356E-2
8.332014E-2;-2.739637E-1;9.918529E-1;-2.777537E-1;8.692109E-1;-4.672255E-1;5.177514E-1;-4.875920E-1;4.234375E-1;-5.855334E-1;1.013573E-1;-5.997235E-1;2.993939E-2;-7.066009E-1;5.094088E-2
9.165216E-2;-2.875018E-1;9.918402E-1;-2.926834E-1;8.690354E-1;-4.796306E-1;5.167730E-1;-4.982088E-1;4.216713E-1;-5.936420E-1;9.808270E-2;-6.032635E-1;3.039398E-2;-7.123512E-1;4.666324E-2
9.998417E-2;-3.014602E-1;9.919923E-1;-3.071858E-1;8.690469E-1;-4.907808E-1;5.150828E-1;-5.084250E-1;4.202703E-1;-6.042456E-1;1.004217E-1;-6.065976E-1;2.935206E-2;-7.168612E-1;4.231386E-2
1.083162E-1;-3.153508E-1;9.925554E-1;-3.225975E-1;8.699780E-1;-5.016588E-1;5.141303E-1;-5.193315E-1;4.201259E-1;-6.129779E-1;1.002658E-1;-6.101402E-1;2.997721E-2;-7.202446E-1;3.890168E-2
1.166482E-1;-3.290904E-1;9.949530E-1;-3.374471E-1;8.717890E-1;-5.123258E-1;5.146029E-1;-5.318097E-1;4.215340E-1;-6.178118E-1;9.933017E-2;-6.113905E-1;3.060236E-2;-7.225893E-1;3.624972E-2
